COMPUTADORAS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
9156,Sodimm DDR3 08Gb 1600 1.35v CORSAIR CMSO8GX3M1C160,U$s 80.42,$ 30600.95,+10.5%,Ver Detalles,MEMORIAS - Para Notebooks
8024,Sodimm DDR3 08Gb 1600 1.35v ICOLAX SD3415,U$s 80.42,$ 30600.95,+10.5%,,MEMORIAS - Para Notebooks
70021033,Sodimm DDR4 04Gb 2400 1.20V Markvision  ,U$s 39.27,$ 14942.62,+10.5%,,MEMORIAS - Para Notebooks
9036,Sodimm DDR4 08Gb 2400 1.20v MARKVISION K8GBD4-2400,U$s 50.84,$ 19342.72,+10.5%,,MEMORIAS - Para Notebooks
9173,Sodimm DDR4 08Gb 2666 1.20v KINGSTON KVR26S19S8/8,U$s 89.09,$ 33900.27,+10.5%,,MEMORIAS - Para Notebooks
70021034,Sodimm DDR4 16gb  2400 1.20VMarkvision ,U$s 111.62,$ 42472.93,+10.5%,,MEMORIAS - Para Notebooks
SD - MicroSD - CF - MS,,,,,,
886,	Mem MicroSD C04 16Gb SANDISK SDSDQM-016G-B35A,U$s 6.76,$ 2571.04,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8577,Adaptador MICROSD a MS Pro Duo,U$s 4.83,$ 1837.82,+21%,,MEMORIAS - SD - MicroSD - CF - MS
7671,Mem Compact Flash 04 Gb TRANSCEND CF4GB,U$s 20.99,$ 7985.93,+21%,,MEMORIAS - SD - MicroSD - CF - MS
7756,Mem Compact Flash 08 Gb INNODISK 1ME Industrial,U$s 53.72,$ 20440.84,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
7544,Mem Compact Flash 16 Gb SANDISK SDCFHS-016G-G46,U$s 37.72,$ 14352.46,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
750007,Mem MicroSD C04 16Gb SONY,U$s 6.76,$ 2571.42,+21%,,MEMORIAS - SD - MicroSD - CF - MS
750008,Mem MicroSD C04 16Gb SUPERTALENT,U$s 6.76,$ 2571.42,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
750006,Mem MicroSD C04 32Gb PCBOX,U$s 15.25,$ 5802.62,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8938,Mem MicroSD C04 32Gb SANDISK SDSDQM-032G-B35A,U$s 7.51,$ 2857.55,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
750020,Mem MicroSD C06 16Gb SILICON POWER ,U$s 6.76,$ 2571.42,+21%,,MEMORIAS - SD - MicroSD - CF - MS
1311,Mem MicroSD C10 08Gb KINGSTON,U$s 6.08,$ 2313.82,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
75000,Mem MicroSD C10 08Gb RIDATA,U$s 6.08,$ 2313.82,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8085,Mem MicroSD C10 08Gb SANDISK SDSDQUA-008G,U$s 6.08,$ 2313.82,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
70020296,Mem MicroSD C10 128GB SANDISK Extreme Pro SDSQXCY-,U$s 49.14,$ 18698.53,+21%,,MEMORIAS - SD - MicroSD - CF - MS
70020501,Mem MicroSD C10 128GB SANDISK SDSQUNR-128G-GN6TA,U$s 36.50,$ 13889.77,+21%,,MEMORIAS - SD - MicroSD - CF - MS
4424,Mem MicroSD C10 16Gb KINGSTON SDCS2/16GB,U$s 6.76,$ 2571.42,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
7616,Mem MicroSD C10 16Gb SANDISK SDSDQUA-016G,U$s 14.01,$ 5330.81,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
70020504,Mem MicroSD C10 256GB SANDISK SDSQUAR-256G-GN6MA,U$s 106.52,$ 40529.34,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8005,Mem MicroSD C10 32Gb SANDISK SDSQU-NS,U$s 7.51,$ 2857.55,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
70020294,Mem MicroSD C10 64Gb GLOBAL G64HFC1,U$s 11.88,$ 4521.10,+21%,,MEMORIAS - SD - MicroSD - CF - MS
750018,Mem MicroSD C10 64Gb KINGSTON SDCS2/64GB,U$s 21.57,$ 8206.24,+21%,,MEMORIAS - SD - MicroSD - CF - MS
7611,Mem MS Pro DUO 04 Gb LEXAR,U$s 18.84,$ 7168.62,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
1469,Mem MS Pro DUO 08 Gb LEXAR,U$s 32.26,$ 12274.93,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
7612,Mem MS Pro DUO 16 Gb LEXAR,U$s 49.74,$ 18926.07,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
6019,Mem SDHC C04 16Gb KINGSTON,U$s 6.76,$ 2571.42,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
8933,Mem SDHC C04 16Gb PNY,U$s 6.76,$ 2571.42,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8549,Mem SDHC C04 32Gb KINGSTON,U$s 7.51,$ 2857.55,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
8934,Mem SDHC C04 32Gb PNY,U$s 7.51,$ 2857.55,+21%,,MEMORIAS - SD - MicroSD - CF - MS
4423,Mem SDHC C10 16Gb VERBATIM 96808,U$s 6.76,$ 2571.42,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
8972,Mem SDHC C10 32Gb VERBATIM 96871,U$s 20.25,$ 7705.12,+21%,,MEMORIAS - SD - MicroSD - CF - MS
8973,Mem SDXC C10 64Gb VERBATIM 44024,U$s 11.88,$ 4521.48,+21%,Ver Detalles,MEMORIAS - SD - MicroSD - CF - MS
Pen Drive USB,,,,,,
19636,Pen Drive 016 Gb GLOBAL PEN2-16GB-W,U$s 8.44,$ 3209.52,+21%,,MEMORIAS - Pen Drive USB
19635,Pen Drive 032 Gb ADATA AV128 USB 3.2,U$s 17.69,$ 6731.43,+21%,,MEMORIAS - Pen Drive USB
70020605,Pen Drive 032 Gb GENERIC PD32 USB 2.0,U$s 11.41,$ 4340.74,+21%,,MEMORIAS - Pen Drive USB
19632,Pen Drive 032 Gb GLOBAL PEN2-32GB-W,U$s 8.96,$ 3407.38,+21%,,MEMORIAS - Pen Drive USB
275,Pen Drive 032 Gb KINGSTON DT70 USB 3.2 TIPO C,U$s 13.49,$ 5134.47,+21%,Ver Detalles,MEMORIAS - Pen Drive USB
70020607,Pen Drive 032 Gb KINGSTON DTX/32 USB 3.2,U$s 14.32,$ 5450.28,+21%,,MEMORIAS - Pen Drive USB
70010081,Pen Drive 064 Gb GLOBAL PEN2-64GB-W,U$s 9.63,$ 3662.69,+10.5%,,MEMORIAS - Pen Drive USB
3311,Pen Drive 064 Gb HIKVISION M200R USB 2.0,U$s 17.53,$ 6669.78,+21%,,MEMORIAS - Pen Drive USB
70020608,Pen Drive 064 Gb KINGSTON DTX/64 USB 3.2,U$s 20.47,$ 7788.07,+21%,,MEMORIAS - Pen Drive USB
19614,Pen Drive 128 Gb KINGSTON DTX/128  USB 3.2,U$s 30.15,$ 11472.84,+21%,,MEMORIAS - Pen Drive USB
CAMARAS - VIDEO CAMARAS,,,,,,
1749019,Cam CANON Eos T7 BODY,U$s 573.34,$ 218155.87,+21%,,MEMORIAS - CAMARAS - VIDEO CAMARAS
Camaras Digitales,,,,,,
8776, Cam KODAK Pixpro AZ651 (20Mp-3.0LCD-65x-Bat),U$s 698.35,$ 265721.03,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
645001,Bateria NIKON EN-EL15 D7200/D7500/D500/D810,U$s 42.52,$ 16179.24,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
19819,Cam CANON Eos Rebel T100 Lente 18-55,U$s 802.56,$ 305374.84,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
18912,Cam CANON EOS Rebel T7I Lente 18-55,U$s 1006.37,$ 382923.78,+21%,,MEMORIAS - Camaras Digitales
1155,Cam CANON PowerShot A480,U$s 47.94,$ 18241.17,+21%,,MEMORIAS - Camaras Digitales
18910,CAM CANON PowerShot SX540 HS,U$s 619.92,$ 235878.80,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
7599,Cam NIKON Coolpix P900,U$s 667.42,$ 253953.31,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
19822,Cam NIKON D3500 Lente 18-55,U$s 1855.45,$ 705998.72,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
8109,Cam NIKON D5600 Lente 18-55,U$s 1420.87,$ 540640.27,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
4442,Cam NIKON D610 Body,U$s 1187.78,$ 451950.29,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
337,Cam NIKON D7200 Lente 18-140,U$s 1131.19,$ 430417.80,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
1794,Cam NIKON D750 Body,U$s 1518.59,$ 577823.49,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
279,Cam NIKON D7500 Lente 18-140,U$s 3301.53,$ 1256232.17,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
1505,Cam NIKON D810,U$s 2386.36,$ 908009.98,+21%,,MEMORIAS - Camaras Digitales
7596,Cam PANASONIC LUMIX DMC-ZS45,U$s 334.00,$ 127087.00,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
9244,Cam SONY CyberShot DSC-H400,U$s 490.70,$ 186712.11,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
645002,Grip NIKON MB-D16 p/Bateria NIKON D750,U$s 180.61,$ 68722.87,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
70020223,Lente NIKON 18-140 AF-S F/3.5-5.6G ED VR,U$s 907.85,$ 345437.31,+21%,Ver Detalles,MEMORIAS - Camaras Digitales
Video Camaras Digitales,,,,,,
6048,Bateria PROBATTERY BATGP3 GOPRO Alt,U$s 19.11,$ 7272.88,+21%,,MEMORIAS - Video Camaras Digitales
9636,Kit GoPro 10 Accesorios NISUTA NSGK10,U$s 47.52,$ 18080.60,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9637,Kit GoPro 24 Accesorios NISUTA NSGK24 ,U$s 60.88,$ 23166.36,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
1749063,Kit GoPro 33 Accesorios NISUTA NSGK33,U$s 69.22,$ 26336.31,+21%,,MEMORIAS - Video Camaras Digitales
9691,Kit GoPro 4 Monturas Adhesivas 3M,U$s 9.01,$ 3429.07,+21%,,MEMORIAS - Video Camaras Digitales
9648,Kit GoPro 47 Accesorios MILEC NSGK47 ,U$s 94.04,$ 35783.36,+21%,,MEMORIAS - Video Camaras Digitales
9645,Kit GoPro NISUTA NS-MUN Fijacion Muñeca,U$s 12.38,$ 4710.59,+21%,,MEMORIAS - Video Camaras Digitales
9639,Kit GoPro NISUTA NSGAC Torn y Acc,U$s 6.77,$ 2575.98,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9641,Kit GoPro NISUTA NSGCA Fijacion Cabeza,U$s 12.74,$ 4847.57,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9642,Kit GoPro NISUTA NSGFL Flotador Agua,U$s 12.31,$ 4684.34,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9643,Kit GoPro NISUTA NSGPE Camara Pecho,U$s 17.52,$ 6666.36,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9638,Kit GoPro NISUTA NSGSE Monopod Selfie,U$s 7.61,$ 2895.61,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9644,Kit GoPro NISUTA NSGSO Parabrisas,U$s 10.66,$ 4056.13,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9716,Kit GoPro NOGA NG-SELFIE04 Selfie Bluetooth,U$s 7.12,$ 2708.40,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
9758,LAPICERA ESPÍA MILEC BPR6,U$s 19.60,$ 7457.80,+21%,,MEMORIAS - Video Camaras Digitales
1381,Videocamara Accion FHD PARSOM PR60170,U$s 71.52,$ 27214.12,+21%,,MEMORIAS - Video Camaras Digitales
6047,Videocamara Accion UHD4K KANJI KJ-MOVE 4K,U$s 103.14,$ 39245.15,+21%,,MEMORIAS - Video Camaras Digitales
70020309,Videocamara Accion UHD5K GOPRO Hero9 Black,U$s 624.22,$ 237513.81,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
1291,Videocamara JVC EVERIO GZ-E100BU,U$s 390.84,$ 148714.62,+21%,,MEMORIAS - Video Camaras Digitales
8905,Videocamara SONY HANDYCAM HDR-CX440,U$s 309.42,$ 117734.31,+21%,Ver Detalles,MEMORIAS - Video Camaras Digitales
Accesorios,,,,,,
1749018,Adaptador Fuente CANON ACK-E8,U$s 134.46,$ 51163.17,+21%,,MEMORIAS - Accesorios
643012,Adaptador Lentes CANON YDCF697 Eos Ef - Micro 4/3 ,U$s 24.91,$ 9478.64,+21%,,MEMORIAS - Accesorios
9710,Baston Selfie Monopod Cableado GLOBAL Monopod,U$s 1.73,$ 658.26,+21%,,MEMORIAS - Accesorios
1749111,Bateria CANON LP-E12,U$s 32.45,$ 12349.13,+21%,,MEMORIAS - Accesorios
1749089,Bateria CANON LP-E6,U$s 62.47,$ 23769.83,+21%,,MEMORIAS - Accesorios
9649,Bateria NIKON EN-EL23 P600 P610 P900 B700 B50,U$s 21.33,$ 8115.68,+21%,,MEMORIAS - Accesorios
1749065,Bateria PROBATTERY OLYMPUS LI-50B,U$s 11.74,$ 4468.59,+21%,,MEMORIAS - Accesorios
643000,CANON 270 EXII FLASH,U$s 318.90,$ 121341.45,+10.5%,,MEMORIAS - Accesorios
70020390,Cargador CANON LP-E8,U$s 65.19,$ 24805.94,+21%,,MEMORIAS - Accesorios
1749067,Cargador MILEC CARLPE6 CANON ,U$s 16.94,$ 6445.29,+21%,,MEMORIAS - Accesorios
6355,Est Imagen Celular GIMBAL Neewer 2AG200,U$s 112.85,$ 42939.81,+21%,Ver Detalles,MEMORIAS - Accesorios
643004,Flash NIKON SPEEDLIGHT SB-700,U$s 399.79,$ 152120.10,+10.5%,Ver Detalles,MEMORIAS - Accesorios
2311,Funda CDTEK 857 P/CAMARAS COMPACTAS,U$s 5.08,$ 1932.94,+10.5%,Ver Detalles,MEMORIAS - Accesorios
1312,Funda CDTEK PARA CAMARAS RIGIDA,U$s 4.39,$ 1670.39,+10.5%,,MEMORIAS - Accesorios
143,Funda NOGA NG-8035 PARA DIGITALES,U$s 4.20,$ 1598.10,+10.5%,Ver Detalles,MEMORIAS - Accesorios
643011,Lente CANON 70-300 USM F/4-5.6 IS,U$s 657.52,$ 250186.74,+21%,,MEMORIAS - Accesorios
643010,Lente CANON EF-S 18-135 MM F/3.5-5.6 IS STM,U$s 1154.13,$ 439146.47,+10.5%,Ver Detalles,MEMORIAS - Accesorios
643001,Lente KODAK SL10 (16MP/10X/28MM/FHD),U$s 70.57,$ 26851.88,+21%,Ver Detalles,MEMORIAS - Accesorios
643009,Lente NIKON 70-300 VR,U$s 337.50,$ 128418.75,+21%,Ver Detalles,MEMORIAS - Accesorios
643008,Lente SIGMA 17-50MM F/2.8 EX DC OS CANON,U$s 439.05,$ 167058.52,+21%,Ver Detalles,MEMORIAS - Accesorios
643006,Lente SIGMA 24-70mm f/2.8 IF EX DG OS HSM,U$s 1414.26,$ 538124.41,+21%,Ver Detalles,MEMORIAS - Accesorios
6288,Mochila para Camara Reflex IS ISCAM21,U$s 44.07,$ 16769.02,+21%,,MEMORIAS - Accesorios
9718,Tripode 1.03 Mts MILEC KAV-103 ,U$s 19.98,$ 7602.39,+21%,,MEMORIAS - Accesorios
9704,Tripode 1.06 Mts NETMAK NM-TRIP1,U$s 9.40,$ 3576.70,+21%,,MEMORIAS - Accesorios
9717,Tripode 1.39 Mts BENRO T560,U$s 67.91,$ 25840.90,+21%,Ver Detalles,MEMORIAS - Accesorios
9708,Tripode 1.50 Mts NETMAK NM-TRIP3,U$s 13.04,$ 4962.86,+21%,,MEMORIAS - Accesorios
70020321,Tripode 2.00 Mts NETMAK NM-TRIP4,U$s 23.06,$ 8772.81,+21%,,MEMORIAS - Accesorios
Binoculares,,,,,,
13000,Binocular OLYMPUS DPCI ROAMER 8X21,U$s 78.86,$ 30006.23,+21%,,MEMORIAS - Binoculares
AUDIO - VIDEO,,,,,,
Radios,,,,,,
16303,Radio STROMBERG C RA-P01 Analogica,U$s 2.79,$ 1061.21,+21%,,AUDIO - VIDEO - Radios
18862,Reproductor CD STROMBERG C BB-27,U$s 74.98,$ 28529.89,+21%,Ver Detalles,AUDIO - VIDEO - Radios
18860,Reproductor S/CD STROMBERG C DS-17,U$s 54.76,$ 20836.18,+21%,,AUDIO - VIDEO - Radios
Parlantes,,,,,,
633035,Parlante BKT PBB101 NE BT 3w 400mAh,U$s 10.96,$ 4168.76,+21%,Ver Detalles,AUDIO - Parlantes
633036,Parlante BKT PBB201 NE BT 6w 800mAh,U$s 15.19,$ 5780.18,+21%,Ver Detalles,AUDIO - Parlantes
633039,Parlante BKT PBB231 CE BT 6w 1200mAh,U$s 13.68,$ 5203.72,+21%,Ver Detalles,AUDIO - Parlantes
633038,Parlante BKT PBB331 AZ BT 6w USB SD,U$s 22.63,$ 8609.19,+21%,Ver Detalles,AUDIO - Parlantes
633037,Parlante BKT PBB331 RJ BT 6w USB SD,U$s 22.63,$ 8609.19,+21%,Ver Detalles,AUDIO - Parlantes
633040,Parlante BKT PBB401 CE BT 10w 1200mAh,U$s 31.30,$ 11908.51,+21%,Ver Detalles,AUDIO - Parlantes
633041,Parlante BKT PBB501 NE BT 12w 1200mAh,U$s 37.15,$ 14136.34,+21%,Ver Detalles,AUDIO - Parlantes
633042,Parlante BKT PBB701 NE BT 20w 1800mAh,U$s 74.80,$ 28460.64,+21%,Ver Detalles,AUDIO - Parlantes
8800,Parlante GOALZERO Rockout 2,U$s 54.74,$ 20828.57,+21%,Ver Detalles,AUDIO - Parlantes
70020208,Parlante JBL Charge 2,U$s 230.46,$ 87688.13,+21%,,AUDIO - Parlantes
70020209,Parlante JBL Charge 5,U$s 310.96,$ 118319.14,+21%,,AUDIO - Parlantes
70020220,Parlante JBL CLIP 4,U$s 103.55,$ 39400.39,+21%,Ver Detalles,AUDIO - Parlantes
70020512,Parlante JBL Flip 5,U$s 180.24,$ 68580.56,+21%,,AUDIO - Parlantes
70020513,Parlante JBL Flip 6,U$s 221.83,$ 84405.17,+21%,,AUDIO - Parlantes
633028,Parlante JBL GO 2,U$s 55.67,$ 21183.96,+21%,Ver Detalles,AUDIO - Parlantes
633027,Parlante JBL GO 3,U$s 77.24,$ 29388.68,+21%,Ver Detalles,AUDIO - Parlantes
633026,Parlante KANJI SKINS+ 5W/USB/SD/BT/Bat,U$s 15.11,$ 5750.88,+21%,Ver Detalles,AUDIO - Parlantes
9031,Parlante KOLKE KPM-194 Handy,U$s 18.05,$ 6868.03,+21%,,AUDIO - Parlantes
633044,Parlante LOGITECH UE Roll Bluetooth,U$s 71.83,$ 27332.46,+21%,Ver Detalles,AUDIO - Parlantes
